Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
Everest College-Dallas	Dallas	TX	1252	2.29473684210526	21800	9500	NA	0.6881
Ridley-Lowell Business & Technical Institute	New London	CT	352	2.29362880886427	20700	9025	NA	NA
Ridley-Lowell School of Business	Poughkeepsie	NY	109	2.29362880886427	20700	9025	NA	NA
Ridley-Lowell Business and Technical Institute	Danbury	CT	198	2.29362880886427	20700	9025	NA	NA
Northern Illinois University	Dekalb	IL	17271	2.29333333333333	34400	15000	1010	0.5254
Black Hills State University	Spearfish	SD	3311	2.288	28600	12500	990	0.9417
Texas Christian University	Fort Worth	TX	8171	2.28756377201163	41700	18229	1189	0.3766
Gene Juarez Academy of Beauty	Seattle	WA	290	2.28475606560813	21800	9541.5	NA	NA
Gene Juarez Academy of Beauty-Branch Campus	Federal Way	WA	364	2.28475606560813	21800	9541.5	NA	NA
University of Indianapolis	Indianapolis	IN	4138	2.28474576271186	33700	14750	1024	0.6793
Kaplan College-Dallas	Dallas	TX	290	2.28450306170513	19400	8492	NA	NA
Kaplan College-Arlington	Arlington	TX	525	2.28450306170513	19400	8492	NA	NA
Miller-Motte Technical College-Lynchburg	Lynchburg	VA	460	2.28421052631579	21700	9500	NA	NA
McCann School of Business and Technology	Pottsville	PA	4396	2.28421052631579	21700	9500	NA	NA
Miller-Motte College-Cary	Cary	NC	490	2.28421052631579	21700	9500	NA	NA
Miller-Motte College-Raleigh	Raleigh	NC	579	2.28421052631579	21700	9500	NA	NA
Miller-Motte College-Fayetteville	Fayetteville	NC	791	2.28421052631579	21700	9500	NA	NA
Miller-Motte College	Jacksonville	NC	533	2.28421052631579	21700	9500	NA	NA
Miller-Motte Technical College	Conway	SC	586	2.28421052631579	21700	9500	NA	NA
Miller-Motte Technical College-Macon	Macon	GA	114	2.28421052631579	21700	9500	NA	NA
Miller-Motte Technical College-Gulfport	Gulfport	MS	130	2.28421052631579	21700	9500	NA	NA
Sam Houston State University	Huntsville	TX	14921	2.28415409715979	34300	15016.5	996	0.8654
Southeast Missouri State University	Cape Girardeau	MO	9395	2.28374270927462	27800	12173	1050	0.9733
Aviation Institute of Maintenance-Indianapolis	Indianapolis	IN	213	2.28151890739717	28900	12667	NA	NA
Concordia University-Texas	Austin	TX	1476	2.28125	36500	16000	1018	0.9256
University of Hartford	West Hartford	CT	5141	2.28	34200	15000	1055	0.6159
University of the Southwest	Hobbs	NM	312	2.28	28500	12500	NA	NA
California State University-Fresno	Fresno	CA	18784	2.27995758218452	30100	13202	931	0.5591
SUNY at Binghamton	Vestal	NY	11828	2.27777777777778	41000	18000	1280	0.4007
William Penn University	Oskaloosa	IA	1661	2.27586206896552	33000	14500	895	0.6236
Tennessee Academy of Cosmetology LLC-Stage Road	Memphis	TN	122	2.27380388441497	14400	6333	NA	NA
University of Miami	Coral Gables	FL	10144	2.27368421052632	43200	19000	1326	0.3833
Paroba College of Cosmetology	Everett	WA	133	2.27365002030045	16800	7389	NA	NA
Radford University	Radford	VA	8319	2.27333333333333	34100	15000	990	0.8024
Central State Beauty Academy	Oklahoma City	OK	136	2.27272727272727	12500	5500	NA	NA
Scioto County Career Technical Center	Lucasville	OH	436	2.2724859297016	21400	9417	NA	NA
Carrington College-Boise	Boise	ID	557	2.27238750186874	22800	10033.5	NA	1
Carrington College-Reno	Reno	NV	296	2.27238750186874	22800	10033.5	NA	1
MidAmerica Nazarene University	Olathe	KS	1340	2.27228713446517	35200	15491	1030	0.9784
University of Wisconsin-River Falls	River Falls	WI	6184	2.27142857142857	31800	14000	1030	0.8978
MCI Institute of Technology	West Palm Beach	FL	344	2.2713130056005	14600	6428	NA	NA
University of Vermont	Burlington	VT	10459	2.27067564752448	32700	14401	1191	0.7538
Brittany Beauty School	Levittown	NY	193	2.27063516416079	14800	6518	NA	NA
Brittany Beauty School	Bronx	NY	217	2.27063516416079	14800	6518	NA	NA
University of California-Santa Barbara	Santa Barbara	CA	18617	2.26968857003098	34800	15332.5	1205	0.4547
Illinois State University	Normal	IL	18526	2.26706686250718	35500	15659	1110	0.7099
Clinton Junior College	Rock Hill	SC	176	2.26666666666667	17000	7500	NA	NA
Cincinnati Christian University	Cincinnati	OH	719	2.26645081420817	23800	10501	987	0.7448
Oklahoma Christian University	Edmond	OK	1766	2.26640484372443	27700	12222	1105	0.5119
Brio Academy of Cosmetology-East Hartford	East Hartford	CT	170	2.26494232785739	16200	7152.5	NA	NA
Toni & Guy Hairdressing Academy-Carrollton	Carrollton	TX	219	2.26468506723284	22400	9891	NA	NA
Carleton College	Northfield	MN	2000	2.26451612903226	35100	15500	1400	0.3099
Fairleigh Dickinson University-Metropolitan Campus	Teaneck	NJ	4045	2.26229508196721	34500	15250	980	0.6301
Fairleigh Dickinson University-College at Florham	Madison	NJ	2349	2.26229508196721	34500	15250	1010	0.6301
Northhaven Academy	North Haven	CT	220	2.25770365097122	22200	9833	NA	NA
Concorde Career Colleges	Kansas City	MO	735	2.25738396624473	21400	9480	NA	1
Concorde Career Institute-San Antonio	San Antonio	TX	376	2.25738396624473	21400	9480	NA	1
Le Cordon Bleu College of Culinary Arts-Chicago	Chicago	IL	1389	2.25684210526316	26800	11875	NA	NA
University of Missouri-Columbia	Columbia	MO	25686	2.2563459730492	36000	15955	1166	0.8115
Saint Anthony College of Nursing	Rockford	IL	197	2.256	56400	25000	NA	NA
Hillsdale Free Will Baptist College	Moore	OK	206	2.256	28200	12500	930	0.8889
Kaplan Career Institute	Broomall	PA	678	2.25487996410141	20100	8914	NA	NA
Carlos Albizu University-Miami	Miami	FL	307	2.25454545454545	24800	11000	NA	0.6111
Carlos Albizu University-San Juan	San Juan	PR	121	2.25454545454545	24800	11000	NA	0.6111
Campbellsville University	Campbellsville	KY	2127	2.25438219420165	23600	10468.5	971	0.6327
Lancaster Bible College	Lancaster	PA	918	2.25408937420515	25700	11401.5	990	0.9619
Ohio Technical College	Cleveland	OH	1107	2.25384615384615	29300	13000	NA	NA
Ohio Technical College DBA PowerSport Institute LC	North Randall	OH	305	2.25384615384615	29300	13000	NA	NA
Schreiner University	Kerrville	TX	1016	2.2532906968097	30300	13447	1013	0.6099
Regent University	Virginia Beach	VA	2220	2.25211758844046	33900	15052.5	1069	0.819
Washington State University	Pullman	WA	22421	2.25074626865672	37700	16750	1066	0.8354
Middle Tennessee State University	Murfreesboro	TN	23173	2.25062735257215	28700	12752	1005	0.7028
University of Wisconsin-Stout	Menomonie	WI	8169	2.25048923679061	34500	15330	1030	0.886
University of North Dakota	Grand Forks	ND	11004	2.24957555178268	37100	16492	1090	0.7
House of Heavilin Beauty College-Blue Springs	Blue Springs	MO	119	2.24832638625742	17800	7917	NA	NA
Saint Leo University	Saint Leo	FL	11995	2.24828340523789	37000	16457	967	0.9293
Bloomsburg University of Pennsylvania	Bloomsburg	PA	9065	2.24557066337042	32700	14562	1005	0.7159
Conservatory of Recording Arts and Sciences	Tempe	AZ	691	2.24329896907216	27200	12125	NA	NA
Catholic University of America	Washington	DC	3544	2.24210526315789	42600	19000	1114	0.8677
Dunwoody College of Technology	Minneapolis	MN	1054	2.24094355518113	39900	17805	NA	0.5078
Western Connecticut State University	Danbury	CT	5467	2.24	33600	15000	990	0.6238
Metropolitan State University	Saint Paul	MN	6940	2.23837209302326	38500	17200	NA	0.9671
Mount Aloysius College	Cresson	PA	1493	2.23728813559322	33000	14750	894	0.7227
Heritage University	Toppenish	WA	882	2.23727501451519	28900	12917.5	NA	NA
Bethel College-Mishawaka	Mishawaka	IN	1826	2.23715245514974	31300	13991	1031	0.6882
University of Delaware	Newark	DE	17092	2.23684210526316	42500	19000	1200	0.6087
Seton Hall University	South Orange	NJ	4903	2.23684210526316	42500	19000	1070	0.8505
Santa Barbara Business College-Ventura	Ventura	CA	339	2.2357209145364	26500	11853	NA	NA
Emporia State University	Emporia	KS	3712	2.23387796686917	29600	13250.5	1010	0.8226
Lander University	Greenwood	SC	2969	2.23333333333333	26800	12000	950	0.4626
Campbell University	Buies Creek	NC	4539	2.23254613498516	34600	15498	1027	0.6672
Midwestern State University	Wichita Falls	TX	5443	2.23225806451613	34600	15500	1026	0.52
Ayers Career College	Shreveport	LA	285	2.23157894736842	21200	9500	NA	NA
Ohio Center for Broadcasting-Valley View	Valley View	OH	155	2.23157894736842	21200	9500	NA	NA
Ohio Center for Broadcasting-Colorado	Lakewood	CO	143	2.23157894736842	21200	9500	NA	NA
Remington College-Fort Worth Campus	Fort Worth	TX	574	2.2302001740644	20500	9192	NA	0.7297
Remington College-Houston Campus	Houston	TX	382	2.2302001740644	20500	9192	NA	0.7297
Remington College-North Houston Campus	Houston	TX	596	2.2302001740644	20500	9192	NA	0.7297
Remington College-Houston Southeast Campus	Webster	TX	365	2.2302001740644	20500	9192	NA	0.7297
Alderson Broaddus College	Philippi	WV	541	2.22905457340507	31900	14311	1016	0.6974
Inter American University of Puerto Rico-San German	San German	PR	4730	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Aguadilla	Aguadilla	PR	4686	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Arecibo	Arecibo	PR	5032	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Barranquitas	Barranquitas	PR	2314	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Metro	San Juan	PR	8046	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Ponce	Mercedita	PR	5986	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Fajardo	Fajardo	PR	2214	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Guayama	Guayama	PR	2334	2.22857142857143	15600	7000	NA	0.4713
Inter American University of Puerto Rico-Bayamon	Bayamon	PR	5083	2.22857142857143	15600	7000	NA	0.4713
Clarkson College	Omaha	NE	778	2.22811671087533	46200	20735	1030	0.3214
Howard Payne University	Brownwood	TX	1052	2.22689075630252	26500	11900	990	0.6941
University of Wisconsin-Oshkosh	Oshkosh	WI	10808	2.22666666666667	33400	15000	1030	0.8381
Georgia College & State University	Milledgeville	GA	5557	2.22650396060801	31200	14013	1121	0.6997
Indiana University-Northwest	Gary	IN	4960	2.22635918088219	29300	13160.5	899	0.7607
University of Minnesota-Twin Cities	Minneapolis	MN	30610	2.22608695652174	38400	17250	1251	0.4679
University of Minnesota-Rochester	Rochester	MN	257	2.22608695652174	38400	17250	1120	0.4679
Rob Roy Academy-Fall River	Fall River	MA	104	2.22585415207409	14300	6424.5	NA	NA
University of Colorado Boulder	Boulder	CO	25741	2.2258064516129	34500	15500	1179	0.8694
University of Minnesota-Duluth	Duluth	MN	9782	2.22525863751708	34200	15369	1109	0.7637
Horry-Georgetown Technical College	Conway	SC	6837	2.22448979591837	21800	9800	NA	NA
University of San Francisco	San Francisco	CA	5977	2.2242774566474	48100	21625	1142	0.5797
Mount St. Mary's College	Los Angeles	CA	2267	2.22303876538674	48400	21772	938	0.6807
Everest College-Colorado Springs	Colorado Springs	CO	498	2.22105263157895	21100	9500	NA	NA
Everest College-Seattle	Seattle	WA	265	2.22105263157895	21100	9500	NA	NA
Everest Institute-Tigard	Tigard	OR	365	2.22105263157895	21100	9500	NA	NA
Everest College-McLean	McLean	VA	423	2.22105263157895	21100	9500	NA	NA
Everest College-Fort Worth South	Ft Worth	TX	528	2.22105263157895	21100	9500	NA	NA
Technical Career Institutes	New York	NY	4196	2.22104706504495	21000	9455	NA	NA
Murray State University	Murray	KY	7618	2.22015935638586	28700	12927	1028	0.8146
National Aviation Academy of New England	Bedford	MA	249	2.21942569500057	38800	17482	NA	NA
New York School of Interior Design	New York	NY	461	2.21897810218978	38000	17125	885	0.3191
Xavier University	Cincinnati	OH	4355	2.21686193429819	38600	17412	1113	0.7017
Siena Heights University	Adrian	MI	2276	2.21613870421066	34000	15342	971	0.555
Lebanon County Area Vocational Technical School	Lebanon	PA	122	2.21504681950274	34300	15485	NA	NA
Good Samaritan College of Nursing & Health Science	Cincinnati	OH	313	2.215	44300	20000	989	0.8983
Pine Technical College	Pine City	MN	736	2.21393034825871	26700	12060	NA	NA
Notre Dame de Namur University	Belmont	CA	1146	2.21333333333333	41500	18750	956	0.7099
University of North Carolina at Charlotte	Charlotte	NC	20179	2.21241895595214	33100	14961	1067	0.7148
Genesis Career College-Lebanon Campus	Lebanon	TN	347	2.21064266540344	14000	6333	NA	NA
Mohave Community College	Kingman	AZ	5515	2.21052631578947	21000	9500	NA	NA
Trend Setters College of Cosmetology	Bradley	IL	356	2.210433244916	17500	7917	NA	NA
Salem College	Winston Salem	NC	929	2.20946915351506	30800	13940	1051	0.5961
The Art Institutes of York-PA	York	PA	581	2.20833333333333	26500	12000	NA	0.6205
The Restaurant School at Walnut Hill College	Philadelphia	PA	450	2.20833333333333	26500	12000	NA	NA
Pinnacle Career Institute-Lawrence	Lawrence	KS	102	2.20813044955271	19500	8831	NA	NA
Texas A & M University-Commerce	Commerce	TX	6618	2.20697265422946	32000	14499.5	976	0.4404
Belmont Technical College	Saint Clairsville	OH	1961	2.20573882490728	22600	10246	NA	NA
Fortis Institute-Scranton	Scranton	PA	431	2.20481927710843	18300	8300	NA	0.9429
Manhattan Christian College	Manhattan	KS	355	2.20408163265306	27000	12250	NA	NA
The College of Saint Scholastica	Duluth	MN	2838	2.20397350993377	41600	18875	1088	0.8117
Becker College	Worcester	MA	1740	2.20338983050847	32500	14750	930	0.7243
Saint Xavier University	Chicago	IL	2963	2.20331079505712	37800	17156	1050	0.8295
Palm Beach Atlantic University-West Palm Beach	West Palm Beach	FL	2365	2.20327868852459	33600	15250	1053	0.8296
Berry College	Mount Berry	GA	1928	2.20161290322581	27300	12400	1170	0.6233
Southern Connecticut State University	New Haven	CT	8696	2.20159151193634	33200	15080	935	0.7185
Florida Technical College	Orlando	FL	2966	2.2	20900	9500	NA	NA
Kansas State University	Manhattan	KS	19031	2.2	35200	16000	NA	0.9894
Bryant and Stratton College-Albany	Albany	NY	768	2.2	20900	9500	NA	NA
Bryant and Stratton College-Amherst	Getzville	NY	507	2.2	20900	9500	NA	NA
Bryant and Stratton College-Syracuse North	Liverpool	NY	536	2.2	20900	9500	NA	NA
Bryant and Stratton College-Main Syracuse	Syracuse	NY	772	2.2	20900	9500	NA	NA
Bryant and Stratton College-Buffalo	Buffalo	NY	874	2.2	20900	9500	NA	NA
Bryant and Stratton College-Greece	Rochester	NY	432	2.2	20900	9500	NA	NA
Guilford Technical Community College	Jamestown	NC	14530	2.2	20900	9500	NA	NA
University of North Carolina at Wilmington	Wilmington	NC	11587	2.2	30800	14000	1150	0.5653
Bryant and Stratton College-Parma	Parma	OH	788	2.2	20900	9500	NA	NA
Bryant & Stratton College-Cleveland	Cleveland	OH	1080	2.2	20900	9500	NA	NA
Bryant and Stratton College-Virginia Beach	Virginia Beach	VA	857	2.2	20900	9500	NA	NA
Bryant and Stratton College-Richmond	North Chesterfield	VA	1004	2.2	20900	9500	NA	NA
Bryant and Stratton College-Milwaukee	Milwaukee	WI	1089	2.2	20900	9500	NA	NA
Heritage College-Denver	Denver	CO	724	2.2	20900	9500	NA	NA
Bryant and Stratton College-Eastlake	Eastlake	OH	942	2.2	20900	9500	NA	NA
Bryant and Stratton College-Southtowns	Orchard Park	NY	1911	2.2	20900	9500	NA	NA
MCed Career College	Fresno	CA	976	2.2	20900	9500	NA	0.7078
Bryant and Stratton College-Henrietta	Rochester	NY	431	2.2	20900	9500	NA	NA
Heritage College-Kansas City	Kansas City	MO	796	2.2	20900	9500	NA	NA
Bryant and Stratton College-Wauwatosa	Wauwatosa	WI	828	2.2	20900	9500	NA	NA
Heritage College-Wichita	Wichita	KS	618	2.2	20900	9500	NA	NA
Bryant and Stratton College-Glendale	Glendale	WI	555	2.2	20900	9500	NA	NA
Bryant & Stratton College-Hampton	Hampton	VA	400	2.2	20900	9500	NA	NA
Heritage College-Columbus	Columbus	OH	198	2.2	20900	9500	NA	NA
Fox Institute of Business-West Hartford	West Hartford	CT	306	2.19870967741935	21300	9687.5	NA	NA
Fox Institute of Business-Clifton	CLIFTON	NJ	552	2.19870967741935	21300	9687.5	NA	NA
Dallas Christian College	Dallas	TX	320	2.19598405655411	29200	13297	981	0.6355
Mount Carmel College of Nursing	Columbus	OH	808	2.1948717948718	53500	24375	1030	0.7544
University of Akron Main Campus	Akron	OH	21450	2.19447890818859	28300	12896	NA	NA
University of Akron Wayne College	Orrville	OH	1600	2.19447890818859	28300	12896	NA	NA
Wood Tobe-Coburn School	New York	NY	617	2.19166666666667	26300	12000	NA	NA
College of Saint Elizabeth	Morristown	NJ	1122	2.19130434782609	31500	14375	835	0.5262
Martin Methodist College	Pulaski	TN	896	2.19047619047619	23000	10500	NA	NA
University of Wisconsin-Whitewater	Whitewater	WI	9973	2.19042452190425	32300	14746	1049	0.8162
University of Wisconsin-Milwaukee	Milwaukee	WI	23193	2.19016393442623	33400	15250	1010	0.9004
University of Maryland-Baltimore County	Baltimore	MD	10429	2.18949708252292	39400	17995	1209	0.6081
United Education Institute-Huntington Park Campus	Huntington Park	CA	12317	2.18947368421053	20800	9500	NA	0.6387
Charter College-Canyon Country	Canyon Country	CA	1015	2.18947368421053	20800	9500	NA	NA
Newbury College-Brookline	Brookline	MA	1009	2.18942700755214	31600	14433	NA	NA
Appalachian State University	Boone	NC	15282	2.18727139722019	29900	13670	1126	0.677
Carrington College California-Sacramento	Sacramento	CA	1283	2.18499006822696	25300	11579	NA	1
Carrington College California-San Leandro	San Leandro	CA	611	2.18499006822696	25300	11579	NA	1
Carrington College California-San Jose	San Jose	CA	711	2.18499006822696	25300	11579	NA	1
Carrington College California-Pleasant Hill	Pleasant Hill	CA	399	2.18499006822696	25300	11579	NA	1
Carrington College California-Stockton	Stockton	CA	416	2.18499006822696	25300	11579	NA	1
Carrington College California-Citrus Heights	Citrus Heights	CA	520	2.18499006822696	25300	11579	NA	1
Carrington College California-Pomona	Pomona	CA	121	2.18499006822696	25300	11579	NA	1
Marquette University	Milwaukee	WI	8195	2.18352941176471	46400	21250	1198	0.5684
Gill-Tech Academy of Hair Design	Appleton	WI	177	2.18285714285714	19100	8750	NA	NA
Southwestern College	Winfield	KS	1341	2.18198700092851	37600	17232	989	0.873
Marinello Schools of Beauty-Burbank	Burbank	CA	501	2.17972719978604	16300	7478	NA	NA
University of California-San Diego	La Jolla	CA	23022	2.1783526208305	38400	17628	1268	0.3788
Keystone Technical Institute	Harrisburg	PA	266	2.17761557177616	17900	8220	NA	NA
Toledo Academy of Beauty Culture-East	OREGON	OH	123	2.17617409392751	13600	6249.5	NA	NA
University of Saint Francis-Fort Wayne	Fort Wayne	IN	1893	2.17521139156948	34600	15906.5	975	0.5382
University of New Haven	West Haven	CT	4546	2.17507895834575	36500	16781	1062	0.6376
The Illinois Institute of Art-Chicago	Chicago	IL	3039	2.175	26100	12000	NA	0.6154
The Illinois Institute of Art-Schaumburg	Schaumburg	IL	1351	2.175	26100	12000	NA	0.6154
The Art Institute of Ohio-Cincinnati	Cincinnati	OH	726	2.175	26100	12000	NA	0.6154
The Art Institute of Michigan	Novi	MI	963	2.175	26100	12000	NA	0.6154
Texas County Technical College	Houston	MO	142	2.17412033946791	22800	10487	NA	NA
Texas Tech University	Lubbock	TX	26004	2.1737915618888	38900	17895	1113	0.6628
Antelope Valley College	Lancaster	CA	12342	2.17274965214599	20300	9343	NA	NA
Winona State University	Winona	MN	8231	2.17267371888263	34300	15787	1070	0.6894
Avila University	Kansas City	MO	1174	2.17254010357459	34400	15834	1045	0.5291
Ball State University	Muncie	IN	17143	2.17253743935879	30900	14223	1052	0.6754
Harrison College-Indianapolis	Indianapolis	IN	2551	2.17208814270724	20700	9530	NA	0.899
Harrison College-Grove City	Grove City	OH	214	2.17208814270724	20700	9530	NA	0.899
Award Beauty School	Hagerstown	MD	175	2.17185336345747	14900	6860.5	NA	NA
University of Alabama at Huntsville	Huntsville	AL	5755	2.17082692535195	36700	16906	1164	0.6368
Shippensburg University of Pennsylvania	Shippensburg	PA	7066	2.16950924655296	33200	15303	970	0.7997
New Hope Christian College	Eugene	OR	155	2.16932515337423	22100	10187.5	NA	0.5625
New Hope Christian College	Honolulu	HI	106	2.16932515337423	22100	10187.5	NA	0.5625
Paul Quinn College	Dallas	TX	198	2.16842105263158	20600	9500	889	0.4348
Concorde Career College-Memphis	Memphis	TN	1105	2.16486261448793	18200	8407	NA	1
The Art Institute of Seattle	Seattle	WA	1956	2.16310097102708	27400	12667	NA	0.3717
Gallaudet University	Washington	DC	1078	2.16190476190476	22700	10500	856	0.6877
Empire Beauty School-Queens	Astoria	NY	237	2.1615130591414	14400	6662	NA	NA
Empire Beauty School-Paramus	Paramus	NJ	133	2.1615130591414	14400	6662	NA	NA
Saginaw Valley State University	University Center	MI	9107	2.16140350877193	30800	14250	990	0.8931
Piedmont College	Demorest	GA	1287	2.16037110669317	32600	15090	1027	0.6435
University of Detroit Mercy	Detroit	MI	2899	2.16	40500	18750	1124	0.5335
Clarion University of Pennsylvania	Clarion	PA	5715	2.1582459485224	28300	13112.5	945	0.7928
Stratford University	Falls Church	VA	1312	2.1581240921353	31200	14457	NA	NA
New York Automotive and Diesel Institute	Jamaica	NY	518	2.15789473684211	20500	9500	NA	NA
California Healing Arts College	Los Angeles	CA	107	2.15789473684211	20500	9500	NA	NA
College of the Siskiyous	Weed	CA	2073	2.15662781832044	19800	9181	NA	NA
New York University	New York	NY	21820	2.15582544768149	43400	20131.5	1360	0.327
Academy of Hair Design	Las Vegas	NV	157	2.15399262168273	18100	8403	NA	NA
Praxis Institute	Miami	FL	426	2.15172413793103	15600	7250	NA	NA
StenoTech Career Institute-Piscataway	Piscataway	NJ	114	2.1504553455269	28100	13067	NA	0.9412
The Art Institutes International-Minnesota	Minneapolis	MN	1804	2.15	25800	12000	NA	0.4544
New College of Florida	Sarasota	FL	845	2.1484375	23100	10752	1306	0.5621
Kennesaw State University	Kennesaw	GA	22040	2.14838709677419	33300	15500	1062	0.6392
Kent State University at Ashtabula	Ashtabula	OH	2375	2.14814814814815	29000	13500	NA	0.8865
Kent State University at East Liverpool	East Liverpool	OH	1357	2.14814814814815	29000	13500	NA	0.8865
Kent State University at Stark	Canton	OH	4651	2.14814814814815	29000	13500	NA	0.8865
Kent State University at Trumbull	Warren	OH	3104	2.14814814814815	29000	13500	NA	0.8865
Kent State University at Tuscarawas	New Philadelphia	OH	2312	2.14814814814815	29000	13500	NA	0.8865
Kent State University at Salem	Salem	OH	1851	2.14814814814815	29000	13500	NA	0.8865
Kent State University at Kent	Kent	OH	21547	2.14814814814815	29000	13500	1046	0.8865
Kent State University at Geauga	Burton	OH	2422	2.14814814814815	29000	13500	NA	0.8865
Eastern Kentucky University	Richmond	KY	13385	2.1478501972117	27500	12803.5	970	0.6576
Concordia University-Chicago	River Forest	IL	1413	2.14615384615385	27900	13000	1029	0.566
Marinello Schools of Beauty-Sacramento	Sacramento	CA	559	2.14592274678112	17000	7922	NA	NA
Morrisville State College	Morrisville	NY	3090	2.14495182237118	25600	11935	942	0.6557
Southern Illinois University Carbondale	Carbondale	IL	14936	2.14431586113002	31500	14690	991	0.4412
D'Youville College	Buffalo	NY	1940	2.14411724793052	39500	18422.5	1044	0.8653
Saint Joseph's University	Philadelphia	PA	5353	2.14365935836711	43900	20479	1118	0.7772
Wentworth Institute of Technology	Boston	MA	3839	2.14285714285714	46500	21700	1081	0.6139
Adelphi University	Garden City	NY	5006	2.14285714285714	45000	21000	1082	0.6922
Drake University	Des Moines	IA	3348	2.14121845526383	42000	19615	1224	0.6317
Valdosta State University	Valdosta	GA	10630	2.13946695874407	29300	13695	1006	0.5847
Youngstown State University	Youngstown	OH	12978	2.13846153846154	27800	13000	NA	NA
Cincinnati College of Mortuary Science	Cincinnati	OH	126	2.13781255964879	39200	18336.5	NA	0.6
Everest College-Henderson	Henderson	NV	1031	2.13743320521234	22800	10667	NA	NA
Milan Institute-Visalia	Visalia	CA	321	2.13684210526316	20300	9500	NA	NA
Milan Institute-Sparks	Sparks	NV	364	2.13684210526316	20300	9500	NA	NA
Aviation Institute of Maintenance-Philadelphia	Philadelphia	PA	311	2.13413636214854	32600	15275.5	NA	NA
Olympian University of Cosmetology	Alamogordo	NM	1334	2.13333333333333	16000	7500	NA	NA
Bowling Green State University-Firelands	Huron	OH	1923	2.13333333333333	30400	14250	NA	0.7554
Bowling Green State University-Main Campus	Bowling Green	OH	14802	2.13333333333333	30400	14250	1009	0.7554
Texas State University-San Marcos	San Marcos	TX	28959	2.13213213213213	35500	16650	1055	0.775
Bon Secours Memorial College of Nursing	Richmond	VA	245	2.13142393272693	51200	24021.5	NA	0.6667
Advanced Technology Institute	Virginia Beach	VA	841	2.13070115724983	31300	14690	NA	0.7477
Indiana University-South Bend	South Bend	IN	6189	2.12980173482032	27500	12912	960	0.7067
Globe University-Woodbury	Woodbury	MN	1224	2.12958395000822	25900	12162	NA	NA
Globe University-Sioux Falls	Sioux Falls	SD	247	2.12958395000822	25900	12162	NA	NA
Globe University-Eau Claire	Eau Claire	WI	486	2.12958395000822	25900	12162	NA	NA
Globe University-Minneapolis	Minneapolis	MN	175	2.12958395000822	25900	12162	NA	NA
Globe University-Madison East	Madison	WI	342	2.12958395000822	25900	12162	NA	NA
Globe University–Green Bay	Green Bay	WI	272	2.12958395000822	25900	12162	NA	NA
Globe University–Madison West	Middleton	WI	332	2.12958395000822	25900	12162	NA	NA
Globe University–Wausau	Rothschild	WI	376	2.12958395000822	25900	12162	NA	NA
Globe University-La Crosse	Onalaska	WI	435	2.12958395000822	25900	12162	NA	NA
Globe University-Appleton	Grand Chute	WI	256	2.12958395000822	25900	12162	NA	NA
Baptist Bible College and Graduate School	Springfield	MO	418	2.1294964028777	22200	10425	NA	NA
Wesleyan College	Macon	GA	500	2.1284115452582	27100	12732.5	1049	0.556
Carson-Newman College	Jefferson City	TN	1658	2.128	26600	12500	1035	0.6725
University of South Carolina-Columbia	Columbia	SC	22222	2.12739793408756	34600	16264	1194	0.6986
National Park Community College	Hot Springs	AR	3560	2.12631578947368	20200	9500	NA	NA
Caldwell Community College and Technical Institute	Hudson	NC	3940	2.12631578947368	20200	9500	NA	NA
Prism Career Institute-Philadelphia	Philadelphia	PA	181	2.12631578947368	20200	9500	NA	0.9399
Prism Career Institute-Cherry Hill	Cherry Hill	NJ	150	2.12631578947368	20200	9500	NA	0.9399
Prism Career Institute-West Atlantic City	West Atlantic City	NJ	121	2.12631578947368	20200	9500	NA	0.9399
Stephen F Austin State University	Nacogdoches	TX	11173	2.12452248508813	31700	14921	967	0.6272
University of North Carolina at Pembroke	Pembroke	NC	5289	2.12445501387237	26800	12615	908	0.7467
Berkeley College-Woodland Park	Woodland Park	NJ	3324	2.12422882781828	30300	14264	NA	NA
Pontifical Catholic University of Puerto Rico-Arecibo	Arecibo	PR	580	2.12307692307692	13800	6500	NA	0.6136
Pontifical Catholic University of Puerto Rico	Ponce	PR	6235	2.12307692307692	13800	6500	NA	0.6136
Pontifical Catholic University of Puerto Rico-Mayaguez	Mayaguez	PR	1424	2.12307692307692	13800	6500	NA	0.6136
Blue Sky School of Professional Massage and Therapeutic Bodywork	Grafton	WI	184	2.12127943136384	19100	9004	NA	NA
University of California-Riverside	Riverside	CA	18516	2.12	31800	15000	1037	0.7588
Capri Institute of Hair Design-Brick	Brick	NJ	180	2.11864406779661	17000	8024	NA	NA
Northwestern College	Chicago	IL	640	2.11730786557347	23500	11099	NA	0.9444
Northwestern College-Southwestern Campus	Bridgeview	IL	908	2.11730786557347	23500	11099	NA	0.9444
University of Mary Hardin-Baylor	Belton	TX	2784	2.11692307692308	34400	16250	1050	0.4197
